time_s,force_N,accel_x_g,accel_y_g,accel_z_g
0.00000000,0.19647625,-0.00111998,0.01260897,0.04761387
0.00009766,0.12207665,0.00250285,0.00125204,0.04963890
0.00019531,0.07739004,-0.01057832,0.02307068,-0.01623779
0.00029297,-0.06453571,-0.00712020,0.02877224,-0.02065149
0.00039063,-0.18729531,0.00866700,0.03384691,0.00541851
0.00048828,0.16242949,0.01684826,0.03446503,0.01195576
0.00058594,0.16496707,-0.02356428,0.03357322,-0.02227952
0.00068359,-0.00110626,-0.03224979,-0.02201490,0.00789543
0.00078125,0.10128258,0.01519895,0.03979923,-0.00865159
0.00087891,0.13721646,0.00517251,-0.00308099,0.03347993
0.00097656,0.14467767,0.00811724,-0.00080199,0.00545347
0.00107422,0.15820752,0.01266482,0.02046833,-0.00809292
0.00117187,-0.04834265,0.01483646,0.01935786,0.00461991
0.00126953,0.24724595,-0.03261661,-0.00121642,0.01304834
0.00136719,-0.16698896,-0.02996138,0.03024977,-0.00035799
0.00146484,0.14925846,0.00380415,0.03593103,0.01867677
0.00156250,0.09408981,0.03646259,0.01428002,-0.00791680
0.00166016,0.15104287,-0.04260538,-0.02055303,-0.02502514
0.00175781,0.30185125,-0.01521695,0.02852023,0.01860886
0.00185547,0.24266682,0.00652735,-0.02171675,0.01352141
0.00195312,-0.15177654,0.01614684,-0.00328307,-0.01091471
0.00205078,-0.23330074,0.00440409,0.01972886,0.04332255
0.00214844,0.14253336,-0.02460582,0.02568466,-0.00081896
0.00224609,-0.13225186,-0.00422229,-0.01848922,-0.00931426
0.00234375,0.01813919,0.00861219,0.02131656,0.01590235
0.00244141,0.14595912,0.02629413,0.03114148,-0.02963843
0.00253906,-0.22656960,-0.01891577,0.00673107,-0.02420299
0.00263672,-0.29649707,0.05588998,-0.01126348,0.00713500
0.00273437,0.05889485,-0.00953525,0.03206950,0.00032416
0.00283203,0.02665788,-0.00991747,0.02707030,-0.00890782
0.00292969,-0.01687046,0.01324986,0.01893766,-0.00410293
0.00302734,0.02578021,0.02822425,0.00608248,0.03913944
0.00312500,-0.10907734,-0.03362170,-0.00157788,-0.03023376
0.00322266,-0.20702416,0.00557539,-0.02013404,0.00792552
0.00332031,-0.00499823,-0.01088914,0.00509760,0.02402505
0.00341797,-0.12575630,-0.01627658,-0.00580715,0.00345930
0.00351563,-0.22652220,-0.00036232,0.01930310,0.01016325
0.00361328,0.09585216,0.01042057,0.02498560,-0.00750071
0.00371094,0.01079021,0.02450021,0.00777516,0.00291355
0.00380859,0.08097928,-0.02166932,-0.00213245,-0.01353416
0.00390625,-0.12839424,-0.00884676,0.01945835,-0.01366465
0.00400391,-0.07870882,0.00416909,0.01572590,-0.01062788
0.00410156,-0.12985645,0.01378578,0.03691295,-0.00409195
0.00419922,-0.11299628,0.00229493,-0.00918068,0.00158972
0.00429688,0.04931119,0.00239898,0.05173132,-0.01468361
0.00439453,-0.09744619,0.00936274,0.00628152,-0.00911373
0.00449219,0.07340994,0.00586105,0.02815557,-0.00384561
0.00458984,0.07096339,0.02743367,-0.00681103,0.00110628
0.00468750,0.32377415,0.00698119,0.02786981,0.00729830
0.00478516,-0.18891836,0.00053457,0.03953113,-0.00127250
0.00488281,0.15318536,0.01124355,0.01189048,0.04050849
0.00498047,0.00657681,-0.01136399,0.04539819,-0.02235497
